Relatório Meteorológico da Estação: Alto da Boa Vista

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   Chuva  DirVento  VelVento  Temperatura  Pressao  Umidade
                                     (graus)     (m/s)    (celsius)    (hPa)      (%)
01/01/2012  00:00:00  HBV     0.4        ND        ND         21.8       ND       99
01/01/2012  00:15:00  HBV     0.2        ND        ND         21.8       ND       99
01/01/2012  00:30:00  HBV     0.2        ND        ND         21.5       ND       99
01/01/2012  00:45:00  HBV     0.0        ND        ND         21.8       ND       99
01/01/2012  01:00:00  HBV     0.0        ND        ND         21.8       ND       99
01/01/2012  01:15:00  HBV     0.2        ND        ND         21.8       ND       99
01/01/2012  01:30:00  HBV     0.0        ND        ND         21.8       ND       99
01/01/2012  01:45:00  HBV     0.0        ND        ND         21.8       ND       99
01/01/2012  02:00:00  HBV     0.2        ND        ND         21.8       ND       99
01/01/2012  02:15:00  HBV     0.2        ND        ND         21.5       ND       99
01/01/2012  02:30:00  HBV     0.0        ND        ND         21.5       ND       99
01/01/2012  02:45:00  HBV     0.2        ND        ND         21.5       ND       99
01/01/2012  03:00:00  HBV     0.0        ND        ND         21.3       ND       99
01/01/2012  03:15:00  HBV     0.0        ND        ND         21.5       ND       98
01/01/2012  03:30:00  HBV     0.2        ND        ND         21.3       ND       98
01/01/2012  03:45:00  HBV     0.0        ND        ND         21.3       ND       98
01/01/2012  04:00:00  HBV     0.2        ND        ND         21.3       ND       99
01/01/2012  04:15:00  HBV     0.0        ND        ND         21.5       ND       99
01/01/2012  04:30:00  HBV     0.0        ND        ND         21.5       ND       99
01/01/2012  04:45:00  HBV     0.0        ND        ND         21.5       ND       98
01/01/2012  05:00:00  HBV     0.2        ND        ND         21.3       ND       99
01/01/2012  05:15:00  HBV     0.0        ND        ND         21.5       ND       99
01/01/2012  05:30:00  HBV     0.0        ND        ND         21.3       ND       99
01/01/2012  05:45:00  HBV     0.0        ND        ND         21.3       ND       99
01/01/2012  06:00:00  HBV     0.0        ND        ND         21.3       ND       99
01/01/2012  06:15:00  HBV     0.0        ND        ND         21.3       ND       99
01/01/2012  06:30:00  HBV     0.0        ND        ND         21.5       ND       99
01/01/2012  06:45:00  HBV     0.0        ND        ND         21.3       ND       99
01/01/2012  07:00:00  HBV     0.0        ND        ND         21.5       ND       99
01/01/2012  07:15:00  HBV     0.0        ND        ND         21.5       ND       99
01/01/2012  07:30:00  HBV     0.0        ND        ND         21.8       ND       99
01/01/2012  07:45:00  HBV     0.0        ND        ND         21.8       ND       99
01/01/2012  08:00:00  HBV     0.2        ND        ND         21.8       ND       99
01/01/2012  08:15:00  HBV     0.0        ND        ND         22.0       ND       98
01/01/2012  08:30:00  HBV     0.2        ND        ND         22.0       ND       98
01/01/2012  08:45:00  HBV     0.2        ND        ND         22.3       ND       98
01/01/2012  09:00:00  HBV     0.2        ND        ND         22.3       ND       98
01/01/2012  09:15:00  HBV     0.0        ND        ND         22.5       ND       98
01/01/2012  09:30:00  HBV     0.2        ND        ND         22.5       ND       98
01/01/2012  09:45:00  HBV     0.0        ND        ND         22.7       ND       97
01/01/2012  10:00:00  HBV     0.0        ND        ND         23.2       ND       96
01/01/2012  10:15:00  HBV     0.0        ND        ND         24.0       ND       93
01/01/2012  10:30:00  HBV     0.0        ND        ND         24.2       ND       89
01/01/2012  10:45:00  HBV     0.0        ND        ND         24.0       ND       90
01/01/2012  11:00:00  HBV     0.0        ND        ND         24.2       ND       89
01/01/2012  11:15:00  HBV     0.0        ND        ND         24.9       ND       81
01/01/2012  11:30:00  HBV     0.2        ND        ND         24.7       ND       80
01/01/2012  11:45:00  HBV     3.0        ND        ND         23.0       ND       94
01/01/2012  12:00:00  HBV     0.4        ND        ND         23.2       ND       94
01/01/2012  12:15:00  HBV     0.0        ND        ND         23.5       ND       94
01/01/2012  12:30:00  HBV     0.4        ND        ND         23.7       ND       88
01/01/2012  12:45:00  HBV     2.0        ND        ND         23.2       ND       94
01/01/2012  13:00:00  HBV     0.4        ND        ND         23.2       ND       94
01/01/2012  13:15:00  HBV     0.0        ND        ND         23.5       ND       91
01/01/2012  13:30:00  HBV     0.0        ND        ND         23.7       ND       89
01/01/2012  13:45:00  HBV     0.2        ND        ND         23.7       ND       87
01/01/2012  14:00:00  HBV     0.6        ND        ND         23.2       ND       92
01/01/2012  14:15:00  HBV     0.6        ND        ND         23.2       ND       92
01/01/2012  14:30:00  HBV     0.2        ND        ND         23.2       ND       91
01/01/2012  14:45:00  HBV     0.0        ND        ND         23.2       ND       91
01/01/2012  15:00:00  HBV     0.2        ND        ND         23.0       ND       91
01/01/2012  15:15:00  HBV     0.2        ND        ND         23.2       ND       93
01/01/2012  15:30:00  HBV     0.2        ND        ND         23.5       ND       93
01/01/2012  15:45:00  HBV     0.0        ND        ND         23.5       ND       93
01/01/2012  16:00:00  HBV     0.0        ND        ND         23.5       ND       94
01/01/2012  16:15:00  HBV     0.0        ND        ND         23.2       ND       94
01/01/2012  16:30:00  HBV     0.0        ND        ND         23.2       ND       95
01/01/2012  16:45:00  HBV     0.2        ND        ND         23.0       ND       94
01/01/2012  17:00:00  HBV     0.0        ND        ND         23.2       ND       94
01/01/2012  17:15:00  HBV     0.2        ND        ND         23.5       ND       95
01/01/2012  17:30:00  HBV     0.0        ND        ND         23.2       ND       96
01/01/2012  17:45:00  HBV     0.0        ND        ND         23.0       ND       96
01/01/2012  18:00:00  HBV     0.0        ND        ND         23.0       ND       96
01/01/2012  18:15:00  HBV     0.0        ND        ND         23.2       ND       97
01/01/2012  18:30:00  HBV     0.0        ND        ND         23.0       ND       98
01/01/2012  18:45:00  HBV     0.0        ND        ND         23.0       ND       98
01/01/2012  19:00:00  HBV     0.0        ND        ND         22.7       ND       98
01/01/2012  19:15:00  HBV     0.0        ND        ND         22.5       ND       98
01/01/2012  19:30:00  HBV     0.0        ND        ND         22.3       ND       98
01/01/2012  19:45:00  HBV     0.0        ND        ND         22.3       ND       98
01/01/2012  20:00:00  HBV     0.0        ND        ND         22.3       ND       98
01/01/2012  20:15:00  HBV     0.0        ND        ND         22.3       ND       99
01/01/2012  20:30:00  HBV     0.2        ND        ND         22.3       ND       99
01/01/2012  20:45:00  HBV     0.0        ND        ND         22.0       ND       99
01/01/2012  21:00:00  HBV     0.0        ND        ND         22.0       ND       99
01/01/2012  21:15:00  HBV     0.0        ND        ND         22.3       ND       99
01/01/2012  21:30:00  HBV     0.2        ND        ND         22.0       ND       99
01/01/2012  21:45:00  HBV     0.0        ND        ND         21.8       ND      100
01/01/2012  22:00:00  HBV     0.0        ND        ND         21.5       ND      100
01/01/2012  22:15:00  HBV     0.8        ND        ND         21.5       ND      100
