Relatório Meteorológico da Estação: Guaratiba 
 
Dados normalizados para o Horário Brasileiro de Verão (HBV) 
 
Dia Hora HBV Chuva DirVento VelVento Temperatura Pressao Umidade 
 (graus) (m/s) (celsius) (hPa) (%) 
01/12/2009 00:07:40 HBV 0.0 030 0.4 24.3 1004.4 89 
01/12/2009 00:22:40 HBV 0.0 066 0.6 24.3 1004.3 89 
01/12/2009 00:37:40 HBV 0.0 192 1.4 24.2 1004.1 89 
01/12/2009 00:52:40 HBV 0.0 210 1.2 24.2 1003.8 89 
01/12/2009 01:07:40 HBV 0.0 032 0.2 24.1 1003.3 89 
01/12/2009 01:22:40 HBV 0.0 073 0.4 24.1 1003.2 90 
01/12/2009 01:37:40 HBV 0.0 049 0.8 24.1 1002.7 90 
01/12/2009 01:52:40 HBV 0.0 039 1.1 24.1 1002.6 90 
01/12/2009 02:07:40 HBV 0.0 041 0.6 24.0 1002.3 90 
01/12/2009 02:22:40 HBV 0.0 149 1.6 24.1 1002.1 90 
01/12/2009 02:37:40 HBV 0.0 058 1.7 24.5 1001.9 89 
01/12/2009 02:52:40 HBV 0.0 051 0.9 24.3 1001.7 89 
01/12/2009 03:07:40 HBV 0.0 055 0.9 24.2 1001.5 89 
01/12/2009 03:22:40 HBV 0.0 038 1.0 24.2 1001.4 89 
01/12/2009 03:37:40 HBV 0.0 071 1.2 24.3 1001.1 89 
01/12/2009 03:52:40 HBV 0.0 049 0.9 24.6 1001.0 89 
01/12/2009 04:07:40 HBV 0.0 072 0.6 24.6 1001.0 89 
01/12/2009 04:22:40 HBV 0.0 207 1.3 24.7 1001.0 89 
01/12/2009 04:37:40 HBV 0.0 063 1.7 24.7 1001.0 89 
01/12/2009 04:52:40 HBV 0.0 065 1.0 24.8 1000.9 88 
01/12/2009 05:07:40 HBV 0.0 066 1.4 24.9 1000.9 87 
01/12/2009 05:22:40 HBV 0.0 084 1.4 24.9 1001.2 87 
01/12/2009 05:37:40 HBV 0.0 094 0.9 25.2 1001.2 86 
