Relatório Meteorológico da Estação: Irajá 
 
Dados normalizados para o Horário Brasileiro de Verão (HBV) 
 
Dia Hora HBV Chuva DirVento VelVento Temperatura Pressao Umidade 
 (graus) (Km/h) (celsius) (hPa) (%) 
01/01/2016 00:00:00 HBV 0.0 ND ND 30.8 ND 60 
01/01/2016 00:15:00 HBV 0.0 ND ND 30.8 ND 59 
01/01/2016 00:30:00 HBV 0.0 ND ND 30.6 ND 60 
01/01/2016 00:45:00 HBV 0.0 ND ND 30.8 ND 60 
01/01/2016 01:00:00 HBV 0.0 ND ND 30.6 ND 61 
01/01/2016 01:15:00 HBV 0.0 ND ND 30.3 ND 63 
01/01/2016 01:30:00 HBV 0.0 ND ND 30.3 ND 63 
01/01/2016 01:45:00 HBV 0.0 ND ND 30.3 ND 62 
01/01/2016 02:00:00 HBV 0.0 ND ND 30.3 ND 61 
01/01/2016 02:15:00 HBV 0.0 ND ND 30.1 ND 62 
01/01/2016 02:30:00 HBV 0.0 ND ND 30.1 ND 62 
01/01/2016 02:45:00 HBV 0.0 ND ND 29.8 ND 63 
01/01/2016 03:00:00 HBV 0.0 ND ND 29.8 ND 62 
01/01/2016 03:15:00 HBV 0.0 ND ND 30.1 ND 61 
01/01/2016 03:30:00 HBV 0.0 ND ND 29.8 ND 62 
01/01/2016 03:45:00 HBV 0.0 ND ND 29.6 ND 61 
01/01/2016 04:00:00 HBV 0.0 ND ND 29.3 ND 62 
01/01/2016 04:15:00 HBV 0.0 ND ND 28.8 ND 63 
01/01/2016 04:30:00 HBV 0.0 ND ND 29.1 ND 63 
01/01/2016 04:45:00 HBV 0.0 ND ND 28.8 ND 63 
01/01/2016 05:00:00 HBV 0.0 ND ND 28.8 ND 63 
01/01/2016 05:15:00 HBV 0.0 ND ND 29.1 ND 62 
01/01/2016 05:30:00 HBV 0.0 ND ND 28.8 ND 62 
01/01/2016 05:45:00 HBV 0.0 ND ND 29.3 ND 60 
01/01/2016 06:00:00 HBV 0.0 ND ND 29.3 ND 60 
