Relatório Meteorológico da Estação: Barra/Riocentro 
 
Dados normalizados para o Horário Brasileiro de Verão (HBV) 
 
Dia Hora HBV Chuva DirVento VelVento Temperatura Pressao Umidade 
 (graus) (Km/h) (celsius) (hPa) (%) 
01/12/2017 00:00:00 HBV 0.0 ND ND 21.3 ND 95 
01/12/2017 00:15:00 HBV 0.0 ND ND 21.5 ND 94 
01/12/2017 00:30:00 HBV 0.2 ND ND 21.5 ND 93 
01/12/2017 00:45:00 HBV 0.0 ND ND 21.5 ND 92 
01/12/2017 01:00:00 HBV 0.0 ND ND 21.5 ND 90 
01/12/2017 01:15:00 HBV 0.0 ND ND 22.0 ND 86 
01/12/2017 01:30:00 HBV 0.0 ND ND 22.0 ND 86 
01/12/2017 01:45:00 HBV 0.0 ND ND 22.0 ND 87 
01/12/2017 02:00:00 HBV 0.0 ND ND 22.0 ND 86 
01/12/2017 02:15:00 HBV 0.0 ND ND 22.0 ND 86 
01/12/2017 02:30:00 HBV 0.0 ND ND 22.0 ND 86 
01/12/2017 02:45:00 HBV 0.0 ND ND 22.0 ND 85 
01/12/2017 03:00:00 HBV 0.0 ND ND 22.3 ND 85 
01/12/2017 03:15:00 HBV 0.0 ND ND 22.0 ND 86 
01/12/2017 03:30:00 HBV 0.0 ND ND 21.8 ND 90 
01/12/2017 03:45:00 HBV 0.0 ND ND 21.8 ND 90 
01/12/2017 04:00:00 HBV 0.0 ND ND 21.5 ND 91 
01/12/2017 04:15:00 HBV 0.0 ND ND 21.5 ND 92 
01/12/2017 04:30:00 HBV 0.0 ND ND 21.3 ND 92 
01/12/2017 04:45:00 HBV 0.0 ND ND 21.5 ND 89 
01/12/2017 05:00:00 HBV 0.0 ND ND 21.5 ND 89 
01/12/2017 05:15:00 HBV 0.0 ND ND 22.0 ND 87 
01/12/2017 05:30:00 HBV 0.0 ND ND 22.0 ND 86 
01/12/2017 05:45:00 HBV 0.0 ND ND 22.0 ND 86 
01/12/2017 06:00:00 HBV 0.0 ND ND 22.3 ND 87 
