Relatório Meteorológico da Estação: Sao Cristovao 
 
Dados normalizados para o Horário Brasileiro de Verão (HBV) 
 
Dia Hora HBV Chuva DirVento VelVento Temperatura Pressao Umidade 
 (graus) (m/s) (celsius) (hPa) (%) 
01/10/2010 00:00:00 nHBV 0.0 228 3.6 23.2 1008.4 89 
01/10/2010 00:15:00 nHBV 0.0 - 0.0 23.1 1008.2 89 
01/10/2010 00:30:00 nHBV 0.0 - 0.0 23.4 1007.6 88 
01/10/2010 00:45:00 nHBV 0.0 - 0.0 23.7 1007.0 90 
01/10/2010 01:00:00 nHBV 0.0 256 5.5 23.4 1007.3 88 
01/10/2010 01:15:00 nHBV 0.0 256 2.5 23.4 1008.4 88 
01/10/2010 01:30:00 nHBV 0.0 254 3.5 23.2 1007.5 88 
01/10/2010 01:45:00 nHBV 0.0 223 3.0 23.2 1007.7 88 
01/10/2010 02:00:00 nHBV 0.0 223 2.0 23.4 1007.5 88 
01/10/2010 02:15:00 nHBV 0.0 246 1.5 23.6 1007.5 87 
01/10/2010 02:30:00 nHBV 0.0 - 0.0 24.0 1006.5 87 
01/10/2010 02:45:00 nHBV 0.0 - 0.0 23.5 1008.0 86 
01/10/2010 03:00:00 nHBV 0.0 - 0.0 23.7 1007.7 87 
01/10/2010 03:15:00 nHBV 0.0 - 0.0 23.5 1007.3 86 
01/10/2010 03:30:00 nHBV 0.0 - 0.0 23.2 1006.9 88 
01/10/2010 03:45:00 nHBV 0.0 - 0.0 23.4 1007.1 88 
01/10/2010 04:00:00 nHBV 0.0 - 0.0 23.2 1007.0 88 
01/10/2010 04:15:00 nHBV 0.0 - 0.0 23.2 1007.1 89 
01/10/2010 04:30:00 nHBV 0.0 - 0.0 23.6 1006.2 90 
01/10/2010 04:45:00 nHBV 0.0 - 0.0 23.5 1007.0 90 
01/10/2010 05:00:00 nHBV 0.0 - 0.0 23.2 1007.0 90 
01/10/2010 05:15:00 nHBV 0.0 - 0.0 23.5 1007.7 89 
