Relatório Meteorológico da Estação: Vidigal 
 
Dados normalizados para o Horário Brasileiro de Verão (HBV) 
 
Dia Hora HBV Chuva DirVento VelVento Temperatura Pressao Umidade 
 (graus) (Km/h) (celsius) (hPa) (%) 
01/06/2021 00:00:00 HBV 0.0 284 2.9 ND ND ND 
01/06/2021 00:05:00 HBV 0.0 - 0.0 ND ND ND 
01/06/2021 00:10:00 HBV 0.0 - 0.0 ND ND ND 
01/06/2021 00:15:00 HBV 0.0 - 0.0 ND ND ND 
01/06/2021 00:20:00 HBV 0.0 006 8.6 ND ND ND 
01/06/2021 00:25:00 HBV 0.0 269 5.8 ND ND ND 
01/06/2021 00:30:00 HBV 0.0 - 0.0 ND ND ND 
01/06/2021 00:35:00 HBV 0.0 - 0.0 ND ND ND 
01/06/2021 00:40:00 HBV 0.0 285 14.4 ND ND ND 
01/06/2021 00:45:00 HBV 0.0 268 8.6 ND ND ND 
01/06/2021 00:50:00 HBV 0.0 312 11.5 ND ND ND 
01/06/2021 00:55:00 HBV 0.0 268 8.6 ND ND ND 
01/06/2021 01:00:00 HBV 0.0 327 5.8 ND ND ND 
01/06/2021 01:05:00 HBV 0.0 267 14.4 ND ND ND 
01/06/2021 01:10:00 HBV 0.0 097 2.9 ND ND ND 
01/06/2021 01:15:00 HBV 0.0 347 8.6 ND ND ND 
01/06/2021 01:20:00 HBV 0.0 300 2.9 ND ND ND 
01/06/2021 01:25:00 HBV 0.0 285 11.5 ND ND ND 
01/06/2021 01:30:00 HBV 0.0 278 20.1 ND ND ND 
01/06/2021 01:35:00 HBV 0.0 - 0.0 ND ND ND 
01/06/2021 01:40:00 HBV 0.0 276 8.6 ND ND ND 
01/06/2021 01:45:00 HBV 0.0 267 17.3 ND ND ND 
01/06/2021 01:50:00 HBV 0.0 265 14.4 ND ND ND 
01/06/2021 01:55:00 HBV 0.0 222 5.8 ND ND ND 
01/06/2021 02:00:00 HBV 0.0 051 2.9 ND ND ND 
