Relatório Meteorológico da Estação: São Cristóvão 
 
Dados normalizados para o Horário Brasileiro de Verão (HBV) 
 
Dia Hora HBV Chuva DirVento VelVento Temperatura Pressao Umidade 
 (graus) (m/s) (celsius) (hPa) (%) 
01/08/2007 00:00:00 HBV 0.0 101 0.9 17.1 1017.7 82 
01/08/2007 00:15:00 HBV 0.0 089 0.9 17.0 1017.7 82 
01/08/2007 00:30:00 HBV 0.0 156 1.3 16.9 1017.5 82 
01/08/2007 00:45:00 HBV 0.0 146 2.1 16.8 1017.5 82 
01/08/2007 01:00:00 HBV 0.0 139 1.4 16.6 1017.4 82 
01/08/2007 01:15:00 HBV 0.0 290 0.9 16.0 1017.4 83 
01/08/2007 01:30:00 HBV 0.0 137 0.9 16.2 1017.2 83 
01/08/2007 01:45:00 HBV 0.0 011 0.4 15.9 1017.2 83 
01/08/2007 02:00:00 HBV 0.0 033 0.5 15.9 1017.2 83 
01/08/2007 02:15:00 HBV 0.0 - 0.0 15.7 1017.2 83 
01/08/2007 02:30:00 HBV 0.0 334 1.0 15.7 1017.4 83 
01/08/2007 02:45:00 HBV 0.0 324 0.8 15.5 1017.4 83 
01/08/2007 03:00:00 HBV 0.0 310 0.1 15.4 1017.2 83 
01/08/2007 03:15:00 HBV 0.0 009 0.5 15.3 1017.4 83 
01/08/2007 03:30:00 HBV 0.0 321 0.9 15.2 1017.2 83 
01/08/2007 03:45:00 HBV 0.0 330 0.8 15.2 1017.2 84 
01/08/2007 04:00:00 HBV 0.0 327 1.1 15.1 1017.2 84 
01/08/2007 04:15:00 HBV 0.0 - 0.0 14.9 1017.1 84 
01/08/2007 04:30:00 HBV 0.0 - 0.0 14.6 1017.1 84 
01/08/2007 04:45:00 HBV 0.0 - 0.0 14.7 1017.0 84 
01/08/2007 05:00:00 HBV 0.0 - 0.0 14.4 1017.1 85 
01/08/2007 05:15:00 HBV 0.0 - 0.0 14.6 1017.1 84 
01/08/2007 05:30:00 HBV 0.0 - 0.0 14.6 1017.2 85 
