Relatório Meteorológico da Estação: Sao Cristovao 
 
Dados normalizados para o Horário Brasileiro de Verão (HBV) 
 
Dia Hora HBV Chuva DirVento VelVento Temperatura Pressao Umidade 
 (graus) (m/s) (celsius) (hPa) (%) 
01/06/2011 00:00:00 HBV 0.0 - 0.0 20.7 1012.7 78 
01/06/2011 00:15:00 HBV 0.0 - 0.0 20.3 1012.5 78 
01/06/2011 00:30:00 HBV 0.0 060 1.6 20.1 1012.7 78 
01/06/2011 00:45:00 HBV 0.0 - 0.0 20.4 1012.7 78 
01/06/2011 01:00:00 HBV 0.0 071 1.7 20.7 1012.6 77 
01/06/2011 01:15:00 HBV 0.0 - 0.0 20.4 1012.4 79 
01/06/2011 01:30:00 HBV 0.0 021 0.2 20.1 1012.2 80 
01/06/2011 01:45:00 HBV 0.0 - 0.0 19.8 1012.0 80 
01/06/2011 02:00:00 HBV 0.0 - 0.0 19.8 1012.0 81 
01/06/2011 02:15:00 HBV 0.0 - 0.0 19.6 1011.5 82 
01/06/2011 02:30:00 HBV 0.0 - 0.0 19.2 1011.4 83 
01/06/2011 02:45:00 HBV 0.0 - 0.0 19.7 1011.3 85 
01/06/2011 03:00:00 HBV 0.0 - 0.0 19.4 1011.3 85 
01/06/2011 03:15:00 HBV 0.0 - 0.0 18.8 1011.3 85 
01/06/2011 03:30:00 HBV 0.0 - 0.0 19.6 1011.0 85 
01/06/2011 03:45:00 HBV 0.0 - 0.0 19.7 1011.3 84 
01/06/2011 04:00:00 HBV 0.0 - 0.0 19.4 1011.3 84 
01/06/2011 04:15:00 HBV 0.0 - 0.0 19.6 1011.0 83 
01/06/2011 04:30:00 HBV 0.0 - 0.0 19.2 1011.0 85 
01/06/2011 04:45:00 HBV 0.0 - 0.0 19.3 1011.3 85 
01/06/2011 05:00:00 HBV 0.0 - 0.0 19.3 1011.3 86 
01/06/2011 05:15:00 HBV 0.0 - 0.0 19.1 1011.5 86 
01/06/2011 05:30:00 HBV 0.0 - 0.0 19.1 1011.7 86 
