Relatório Meteorológico da Estação: Vidigal 
 
Dados normalizados para o Horário Brasileiro de Verão (HBV) 
 
Dia Hora HBV Chuva DirVento VelVento Temperatura Pressao Umidade 
 (graus) (Km/h) (celsius) (hPa) (%) 
01/05/2021 00:00:00 HBV 0.2 020 2.9 ND ND ND 
01/05/2021 00:05:00 HBV 0.2 - 0.0 ND ND ND 
01/05/2021 00:10:00 HBV 0.0 168 5.8 ND ND ND 
01/05/2021 00:15:00 HBV 0.0 - 0.0 ND ND ND 
01/05/2021 00:20:00 HBV 0.0 348 5.8 ND ND ND 
01/05/2021 00:25:00 HBV 0.0 - 0.0 ND ND ND 
01/05/2021 00:30:00 HBV 0.0 - 0.0 ND ND ND 
01/05/2021 00:35:00 HBV 0.0 - 0.0 ND ND ND 
01/05/2021 00:40:00 HBV 0.0 035 2.9 ND ND ND 
01/05/2021 00:45:00 HBV 0.0 051 14.4 ND ND ND 
01/05/2021 00:50:00 HBV 0.0 030 5.8 ND ND ND 
01/05/2021 00:55:00 HBV 0.0 012 5.8 ND ND ND 
01/05/2021 01:00:00 HBV 0.0 029 11.5 ND ND ND 
01/05/2021 01:05:00 HBV 0.0 030 11.5 ND ND ND 
01/05/2021 01:10:00 HBV 0.0 034 11.5 ND ND ND 
01/05/2021 01:15:00 HBV 0.0 035 17.3 ND ND ND 
01/05/2021 01:20:00 HBV 0.0 033 20.1 ND ND ND 
01/05/2021 01:25:00 HBV 0.0 030 14.4 ND ND ND 
01/05/2021 01:30:00 HBV 0.0 041 11.5 ND ND ND 
01/05/2021 01:35:00 HBV 0.0 022 5.8 ND ND ND 
01/05/2021 01:40:00 HBV 0.0 050 8.6 ND ND ND 
01/05/2021 01:45:00 HBV 0.0 039 5.8 ND ND ND 
01/05/2021 01:50:00 HBV 0.0 027 8.6 ND ND ND 
01/05/2021 01:55:00 HBV 0.0 040 11.5 ND ND ND 
01/05/2021 02:00:00 HBV 0.0 042 17.3 ND ND ND 
