Relatório Meteorológico da Estação: Guaratiba

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   Chuva  DirVento  VelVento  Temperatura  Pressao  Umidade
                                     (graus)     (Km/h)    (celsius)    (hPa)      (%)
01/01/2004  00:07:40  HBV     0.0       256      11.3         23.8   1007.8       91
01/01/2004  00:22:40  HBV     0.0       261       6.0         24.0   1007.7       91
01/01/2004  00:37:40  HBV     0.0       250       9.5         24.0   1007.3       91
01/01/2004  00:52:40  HBV     0.0       256       4.6         23.7   1007.1       91
01/01/2004  01:07:40  HBV     0.0       330       2.5         23.7   1006.6       91
01/01/2004  01:22:40  HBV     0.0       318       0.4         23.5   1006.2       92
01/01/2004  01:37:40  HBV     0.0         -       0.0         23.5   1006.0       92
01/01/2004  01:52:40  HBV     0.0       344       1.1         23.4   1005.8       92
01/01/2004  02:07:40  HBV     0.0         -       0.0           ND       ND       ND
01/01/2004  02:22:40  HBV     0.0       350       1.1         23.1   1005.5       92
01/01/2004  02:37:40  HBV     0.0       031       1.1         23.1   1005.3       93
01/01/2004  02:52:40  HBV     0.0       025       5.6         23.4   1005.0       93
01/01/2004  03:07:40  HBV     0.0       049       3.9         23.4   1004.8       93
01/01/2004  03:22:40  HBV     0.0       023       2.8         23.2   1004.5       93
01/01/2004  03:37:40  HBV     0.0       013       4.2         23.1   1004.4       93
01/01/2004  03:52:40  HBV     0.0       025       4.9         23.0   1004.2       93
01/01/2004  04:07:40  HBV     0.0       021       5.3         23.0   1004.2       94
01/01/2004  04:22:40  HBV     0.0       030       3.2         23.0   1003.9       94
01/01/2004  04:37:40  HBV     0.0       032       3.5         22.9   1003.9       94
01/01/2004  04:52:40  HBV     0.0       026       4.6         22.7   1003.9       94
01/01/2004  05:07:40  HBV     0.0       043       2.5         22.6   1004.1       94
01/01/2004  05:22:40  HBV     0.0       033       3.9         22.6   1004.3       94
01/01/2004  05:37:40  HBV     0.0       031       4.6         22.6   1004.3       94
01/01/2004  05:52:40  HBV     0.0       045       6.0         22.6   1004.4       94
01/01/2004  06:07:40  HBV     0.0       047       2.1         22.6   1004.5       94
01/01/2004  06:22:40  HBV     0.0       053       0.7         22.6   1004.9       94
01/01/2004  06:37:40  HBV     0.0       180       5.6         23.1   1005.3       94
01/01/2004  06:52:40  HBV     0.0       161       6.7         23.6   1005.5       94
01/01/2004  07:07:40  HBV     0.0       075       1.1         24.0   1005.6       93
01/01/2004  07:22:40  HBV     0.0       075       1.4         24.7   1005.8       93
01/01/2004  07:37:40  HBV     0.0       184       4.2         25.1   1006.0       91
01/01/2004  07:52:40  HBV     0.0       174      10.6         24.7   1006.4       90
01/01/2004  08:07:40  HBV     0.0       143       9.2         24.8   1006.4       90
01/01/2004  08:22:40  HBV     0.0       180       5.3         25.2   1006.5       89
01/01/2004  08:37:40  HBV     0.0       184       4.9         25.4   1006.7       87
01/01/2004  08:52:40  HBV     0.0         -       0.0           ND       ND       ND
01/01/2004  09:07:40  HBV     0.0       177      12.0         25.3   1007.1       85
01/01/2004  09:22:40  HBV     0.0       187      13.1         24.8   1007.3       86
01/01/2004  09:37:40  HBV     0.0       187      11.6         24.8   1007.3       88
01/01/2004  09:52:40  HBV     0.0       191      10.6         24.7   1007.5       88
01/01/2004  10:07:40  HBV     0.0       206      10.6         24.6   1007.6       88
01/01/2004  10:22:40  HBV     0.0       222      11.3         24.3   1007.6       89
01/01/2004  10:37:40  HBV     0.0       221      10.2         24.6   1007.8       89
01/01/2004  10:52:40  HBV     0.0       215      12.0         24.6   1007.8       88
01/01/2004  11:07:40  HBV     0.0         -       0.0           ND       ND       ND
01/01/2004  11:22:40  HBV     0.0       224      12.3         25.9   1007.8       84
01/01/2004  11:37:40  HBV     0.0       223      14.1         26.3   1007.8       80
01/01/2004  11:52:40  HBV     0.0         -       0.0           ND       ND       ND
01/01/2004  12:07:40  HBV     0.0       230       9.5         26.8   1007.8       74
01/01/2004  12:22:40  HBV     0.0       228      11.3         27.1   1007.7       74
01/01/2004  12:37:40  HBV     0.0       220      12.3         26.5   1007.7       77
01/01/2004  12:52:40  HBV     0.0       222      13.4         26.9   1007.6       78
01/01/2004  13:07:40  HBV     0.0       222      11.3         26.9   1007.5       78
01/01/2004  13:22:40  HBV     0.0       228       8.1         26.0   1007.6       81
01/01/2004  13:37:40  HBV     0.0       224      10.9         25.8   1007.5       82
01/01/2004  13:52:40  HBV     0.0       220      17.6         25.2   1007.3       84
01/01/2004  14:07:40  HBV     0.0       213      22.2         24.7   1007.1       87
01/01/2004  14:22:40  HBV     0.0       205      21.2         24.2   1007.0       88
01/01/2004  14:37:40  HBV     0.0       199      18.3         23.8   1007.0       88
01/01/2004  14:52:40  HBV     0.0         -       0.0           ND       ND       ND
01/01/2004  15:07:40  HBV     0.0       199      14.1         23.8   1006.9       89
01/01/2004  15:22:40  HBV     0.0       199      14.8         23.7   1006.9       89
01/01/2004  15:37:40  HBV     0.0       195      14.1         23.7   1006.7       90
01/01/2004  15:52:40  HBV     0.0       194      13.4         23.7   1006.5       90
01/01/2004  16:07:40  HBV     0.0       192      13.4         23.8   1006.2       90
01/01/2004  16:22:40  HBV     0.0         -       0.0           ND       ND       ND
01/01/2004  16:37:40  HBV     0.0       163      25.8         23.5   1006.1       91
01/01/2004  16:52:40  HBV     0.0       164      26.5         23.4   1006.0       91
01/01/2004  17:07:40  HBV     0.0       169      26.5         23.2   1006.1       91
01/01/2004  17:22:40  HBV     1.4       175      25.8         23.0   1006.5       91
01/01/2004  17:37:40  HBV     1.2       170      26.5         22.9   1006.6       92
01/01/2004  17:52:40  HBV     0.4       164      28.6         22.7   1006.7       93
01/01/2004  18:07:40  HBV     0.2       166      25.8         22.6   1006.9       93
01/01/2004  18:22:40  HBV     0.2       172      23.6         22.6   1007.1       93
01/01/2004  18:37:40  HBV     1.0       176      29.3         22.4   1007.5       94
01/01/2004  18:52:40  HBV     0.8       180      25.0         22.4   1007.8       94
01/01/2004  19:07:40  HBV     0.4       179      30.0         22.0   1008.0       94
01/01/2004  19:22:40  HBV     0.0       185      27.2         22.1   1008.3       94
01/01/2004  19:37:40  HBV     0.8       181      29.6         21.9   1008.7       94
01/01/2004  19:52:40  HBV     0.6       183      31.0         21.9   1008.8       94
01/01/2004  20:07:40  HBV     0.6       186      29.6         21.9   1009.1       94
01/01/2004  20:22:40  HBV     0.4       187      30.0         21.9   1009.2       94
01/01/2004  20:37:40  HBV     0.6       191      32.8         21.8   1009.4       94
01/01/2004  20:52:40  HBV     0.8       199      32.1         21.5   1009.7       94
01/01/2004  21:07:40  HBV     2.2       188      31.8         21.3   1010.2       94
01/01/2004  21:22:40  HBV     1.2       205      25.4         21.4   1010.4       95
01/01/2004  21:37:40  HBV     0.8       196      24.3         21.2   1010.8       95
01/01/2004  21:52:40  HBV     1.2       211      31.4         21.2   1010.9       95
01/01/2004  22:07:40  HBV     0.8       211      29.6         21.0   1011.0       95
01/01/2004  22:22:40  HBV     0.8       206      28.2         20.7   1011.3       95
01/01/2004  22:37:40  HBV     0.6       204      22.9         20.9   1011.4       95
01/01/2004  22:52:40  HBV     0.8       212      22.9         21.0   1011.6       95
01/01/2004  23:07:40  HBV     0.8       226      20.8         21.0   1011.6       95
01/01/2004  23:22:40  HBV     0.0       213      24.3         20.8   1011.6       95
01/01/2004  23:37:40  HBV     0.2       211      19.8         20.8   1011.6       95
01/01/2004  23:52:40  HBV     0.2       212      18.3         21.2   1011.5       95
02/01/2004  00:07:40  HBV     0.6       232      21.5         21.3   1011.3       95
02/01/2004  00:22:40  HBV     0.6       215      26.1         21.0   1011.0       95
02/01/2004  00:37:40  HBV     0.4       230      19.8         21.0   1010.9       95
02/01/2004  00:52:40  HBV     0.2       236      18.3         20.9   1010.5       95
02/01/2004  01:07:40  HBV     0.0       231      18.7         21.2   1010.4       95
02/01/2004  01:22:40  HBV     0.2       206      21.2         20.8   1010.2       95
02/01/2004  01:37:40  HBV     0.0       207      21.5         20.7   1009.9       95
02/01/2004  01:52:40  HBV     0.4       222      19.4         20.9   1009.8       94
02/01/2004  02:07:40  HBV     0.2       225      17.6         20.8   1009.8       94
02/01/2004  02:22:40  HBV     0.2       224      13.8         21.2   1009.8       94
02/01/2004  02:37:40  HBV     0.0       224      16.9         21.2   1009.5       93
02/01/2004  02:52:40  HBV     0.0       223      18.0         21.4   1009.3       91
02/01/2004  03:07:40  HBV     0.0       223      21.9         21.5   1009.1       88
02/01/2004  03:22:40  HBV     0.0         -       0.0           ND       ND       ND
02/01/2004  03:37:40  HBV     0.0       223      23.6         22.0   1008.9       82
02/01/2004  03:52:40  HBV     0.0       222      22.9         22.3   1008.9       81
02/01/2004  04:07:40  HBV     0.0       219      22.6         22.3   1008.9       79
02/01/2004  04:22:40  HBV     0.0       221      21.2         22.3   1008.8       79
02/01/2004  04:37:40  HBV     0.0       225      18.7         22.3   1008.9       78
02/01/2004  04:52:40  HBV     0.0       225      18.3         22.4   1008.9       78
02/01/2004  05:07:40  HBV     0.0       231      15.9         22.3   1008.9       80
02/01/2004  05:22:40  HBV     0.0       219      19.4         22.3   1008.9       80
02/01/2004  05:37:40  HBV     0.0       213      19.1         22.4   1009.2       80
02/01/2004  05:52:40  HBV     0.0       212      22.2         22.3   1009.2       81
02/01/2004  06:07:40  HBV     0.0       213      21.2         22.3   1009.3       82
02/01/2004  06:22:40  HBV     0.0       211      22.6         22.1   1009.4       82
02/01/2004  06:37:40  HBV     0.0       208      17.6         22.3   1009.7       83
02/01/2004  06:52:40  HBV     0.0       209      21.2         22.1   1009.8       83
02/01/2004  07:07:40  HBV     0.0       207      19.8         22.1   1009.9       84
02/01/2004  07:22:40  HBV     0.0       206      18.3         22.3   1010.2       84
02/01/2004  07:37:40  HBV     0.0       200      18.0         22.3   1010.4       84
02/01/2004  07:52:40  HBV     0.0       202      18.0         22.1   1010.5       83
02/01/2004  08:07:40  HBV     0.0       209      17.3         22.1   1010.5       85
02/01/2004  08:22:40  HBV     0.0       206      17.3         22.3   1010.6       85
02/01/2004  08:37:40  HBV     0.0       199      15.9         22.3   1010.6       82
02/01/2004  08:52:40  HBV     0.0       198      14.8         22.5   1010.9       81
02/01/2004  09:07:40  HBV     0.0       200      15.2         22.6   1010.9       80
02/01/2004  09:22:40  HBV     0.0       202      13.8         22.9   1011.0       80
02/01/2004  09:37:40  HBV     0.0       202      15.5         22.6   1011.0       78
02/01/2004  09:52:40  HBV     0.0       198      14.1         22.5   1011.1       79
02/01/2004  10:07:40  HBV     0.0       200      15.5         22.5   1011.1       78
02/01/2004  10:22:40  HBV     0.0       210      20.1         22.0   1011.3       80
02/01/2004  10:37:40  HBV     0.2       212      16.2         21.6   1011.4       83
02/01/2004  10:52:40  HBV     0.0       209      13.8         22.0   1011.3       82
02/01/2004  11:07:40  HBV     0.0       217      15.5         22.0   1011.4       81
02/01/2004  11:22:40  HBV     0.0       227      14.5         22.1   1011.3       81
02/01/2004  11:37:40  HBV     0.0       225      12.3         22.1   1011.3       81
02/01/2004  11:52:40  HBV     0.0       235      15.9         22.1   1011.3       81
02/01/2004  12:07:40  HBV     0.0         -       0.0           ND       ND       ND
02/01/2004  12:22:40  HBV     0.0       208      14.1         22.1   1011.1       79
02/01/2004  12:37:40  HBV     0.0       214      12.3         22.6   1011.0       76
02/01/2004  12:52:40  HBV     0.0       215      12.3         22.6   1011.0       77
02/01/2004  13:07:40  HBV     0.0       230      13.4         22.5   1011.0       78
02/01/2004  13:22:40  HBV     0.0       231      12.0         22.3   1011.0       79
02/01/2004  13:37:40  HBV     0.0       241      18.3         22.1   1011.0       80
02/01/2004  13:52:40  HBV     0.0       251      17.3         21.5   1011.0       83
02/01/2004  14:07:40  HBV     0.0       242      18.3         21.5   1011.0       83
02/01/2004  14:22:40  HBV     0.0       230      18.7         21.5   1010.9       84
02/01/2004  14:37:40  HBV     0.0       222      19.1         21.0   1010.9       85
02/01/2004  14:52:40  HBV     0.0       208      18.3         20.7   1010.8       86
02/01/2004  15:07:40  HBV     0.0       212      21.5         20.7   1010.6       86
02/01/2004  15:22:40  HBV     0.0       216      19.1         20.7   1010.5       87
02/01/2004  15:37:40  HBV     0.6       205      17.6         20.5   1010.4       88
02/01/2004  15:52:40  HBV     0.6       156       9.5         20.5   1010.4       89
02/01/2004  16:07:40  HBV     0.2       192      20.1         20.3   1010.2       90
02/01/2004  16:22:40  HBV     0.2       148      15.2         19.9   1010.4       91
02/01/2004  16:37:40  HBV     0.2       188      18.3         20.3   1010.2       91
02/01/2004  16:52:40  HBV     0.4       179      16.9         19.9   1010.3       91
02/01/2004  17:07:40  HBV     0.0       196      18.0         20.1   1010.2       91
02/01/2004  17:22:40  HBV     0.0       176      14.5         20.2   1010.2       92
02/01/2004  17:37:40  HBV     0.2       159      21.9         19.9   1010.0       92
02/01/2004  17:52:40  HBV     0.2       158      20.8         19.8   1010.2       92
02/01/2004  18:07:40   ND      ND        ND        ND           ND       ND       ND
02/01/2004  18:22:40  HBV      ND       135      13.4         19.7   1010.5       92
02/01/2004  18:37:40  HBV     0.0       123      10.2         19.7   1010.6       92
02/01/2004  18:52:40  HBV     0.2       128       9.9         19.7   1010.9       92
02/01/2004  19:07:40  HBV     0.0       097       6.4         19.3   1011.1       92
02/01/2004  19:22:40  HBV     0.0       096       6.0         19.2   1011.1       92
02/01/2004  19:37:40  HBV     0.0       138      12.0         19.2   1011.3       92
02/01/2004  19:52:40  HBV     0.0       110       6.7         19.3   1011.4       91
02/01/2004  20:07:40  HBV     0.0       117      10.6         19.4   1011.5       90
02/01/2004  20:22:40  HBV     0.0       137      11.3         19.9   1011.7       90
02/01/2004  20:37:40  HBV     0.0       146      16.6         20.1   1011.7       88
02/01/2004  20:52:40  HBV     0.0       151      18.0         20.2   1011.7       86
02/01/2004  21:07:40  HBV     0.0       168      19.8         20.4   1012.0       85
02/01/2004  21:22:40  HBV     0.0       164      19.8         20.4   1012.2       83
02/01/2004  21:37:40  HBV     0.0       168      18.7         20.4   1012.5       83
02/01/2004  21:52:40  HBV     0.0       170      16.2         19.9   1012.6       84
02/01/2004  22:07:40  HBV     0.0       150      13.4         20.1   1012.7       84
02/01/2004  22:22:40  HBV     0.0       153       8.5         20.4   1012.8       84
02/01/2004  22:37:40  HBV     0.0       127       3.9         19.8   1013.0       85
02/01/2004  22:52:40  HBV     0.0       144       8.5         20.2   1013.1       85
02/01/2004  23:07:40  HBV     0.0       141       7.1         20.1   1013.2       85
02/01/2004  23:22:40  HBV     0.0       172       9.5         20.1   1013.2       85
02/01/2004  23:37:40  HBV     0.0       171       7.4         20.2   1013.2       83
02/01/2004  23:52:40  HBV     0.0       160       8.1         20.2   1013.1       81
03/01/2004  00:07:40  HBV     0.0       146       6.0         20.2   1013.0       81
03/01/2004  00:22:40  HBV     0.0       123       4.6         19.8   1012.7       82
03/01/2004  00:37:40  HBV     0.0       129       5.3         19.4   1012.6       84
03/01/2004  00:52:40  HBV     0.0       157       7.8         19.4   1012.4       86
03/01/2004  01:07:40  HBV     0.0       089       5.3         19.3   1012.2       87
03/01/2004  01:22:40  HBV     0.0       055       1.8         19.1   1012.0       88
03/01/2004  01:37:40  HBV     0.0       022       4.9         19.2   1012.0       89
03/01/2004  01:52:40  HBV     0.0       282       2.5         19.0   1011.9       89
03/01/2004  02:07:40  HBV     0.0       052       3.5         18.5   1011.7       90
03/01/2004  02:22:40  HBV     0.0       044       3.5         18.5   1011.6       90
03/01/2004  02:37:40  HBV     0.0       055       2.5         18.3   1011.5       91
03/01/2004  02:52:40  HBV     0.0       039       0.4         18.2   1011.4       91
03/01/2004  03:07:40  HBV     0.0       346       2.8         18.1   1011.1       91
03/01/2004  03:22:40  HBV     0.0       039       2.8         18.2   1010.9       91
03/01/2004  03:37:40  HBV     0.0       019       3.9         18.3   1010.9       91
03/01/2004  03:52:40  HBV     0.0       355       2.8         18.3   1010.8       91
03/01/2004  04:07:40  HBV     0.0       345       4.2         18.5   1010.8       92
