Relatório Meteorológico da Estação: São Cristóvão

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   Chuva  DirVento  VelVento  Temperatura  Pressao  Umidade
                                     (graus)     (m/s)    (celsius)    (hPa)      (%)
01/11/2008  00:00:00  HBV     0.0       020       1.0         20.9   1016.1       87
01/11/2008  00:15:00  HBV     0.0       014       1.8         20.5   1016.0       88
01/11/2008  00:30:00  HBV     0.0       018       1.5         20.4   1015.9       88
01/11/2008  00:45:00  HBV     0.0       058       1.6         20.5   1015.8       87
01/11/2008  01:00:00  HBV     0.0       054       1.2         20.5   1015.5       87
01/11/2008  01:15:00  HBV     0.0       049       1.2         20.5   1015.3       87
01/11/2008  01:30:00  HBV     0.0       004       1.2         20.5   1015.2       87
01/11/2008  01:45:00  HBV     0.0       027       0.6         20.4   1015.0       88
01/11/2008  02:00:00  HBV     0.0       030       0.2         20.4   1014.8       88
01/11/2008  02:15:00  HBV     0.0       046       1.4         20.7   1014.7       87
01/11/2008  02:30:00  HBV     0.0         -       0.0         20.5   1014.4       87
01/11/2008  02:45:00  HBV     0.0       062       0.3         20.5   1014.3       87
01/11/2008  03:00:00  HBV     0.0       008       1.3         20.4   1014.3       88
01/11/2008  03:15:00  HBV     0.0       015       0.4         20.4   1014.4       88
01/11/2008  03:30:00  HBV     0.0       051       0.9         20.5   1014.4       87
01/11/2008  03:45:00  HBV     0.0         -       0.0         20.8   1014.6       87
01/11/2008  04:00:00  HBV     0.0       033       0.2         20.8   1014.6       86
01/11/2008  04:15:00  HBV     0.0       028       0.4         20.8   1014.7       86
01/11/2008  04:30:00  HBV     0.0       014       1.0         20.7   1014.7       86
01/11/2008  04:45:00  HBV     0.0       019       0.7         20.9   1014.8       85
01/11/2008  05:00:00  HBV     0.0       038       0.4         21.0   1014.9       83
01/11/2008  05:15:00  HBV     0.0       065       0.6         21.2   1015.0       85
01/11/2008  05:30:00  HBV     0.2       164       1.3         20.5   1015.0       89
01/11/2008  05:45:00  HBV     0.0       107       0.8         20.4   1015.0       91
01/11/2008  06:00:00  HBV     0.0       112       0.8         20.8   1015.2       91
01/11/2008  06:15:00  HBV     0.0       154       2.0         20.4   1015.3       93
01/11/2008  06:30:00  HBV     0.4       157       2.4         20.3   1015.4       94
01/11/2008  06:45:00  HBV     0.0         -       0.0         20.2   1015.5       93
01/11/2008  07:00:00  HBV     0.8       025       1.3         20.1   1015.6       93
01/11/2008  07:15:00  HBV     1.2       351       1.8         19.6   1015.8       93
01/11/2008  07:30:00  HBV     0.2       354       1.7         19.3   1016.0       91
01/11/2008  07:45:00  HBV     0.0       268       2.2         19.2   1016.1       92
01/11/2008  08:00:00  HBV     0.4       316       0.6         19.2   1016.3       94
01/11/2008  08:15:00  HBV     0.2       024       0.5         19.2   1016.4       93
01/11/2008  08:30:00  HBV     0.2       008       1.3         19.6   1016.4       94
01/11/2008  08:45:00  HBV     0.0       267       0.8         19.8   1016.5       92
01/11/2008  09:00:00  HBV     0.0       169       1.5         19.8   1016.6       91
01/11/2008  09:15:00  HBV     0.0       150       1.2         19.8   1016.7       92
01/11/2008  09:30:00  HBV     0.2       186       1.7         19.7   1016.7       93
01/11/2008  09:45:00  HBV     0.0       135       1.5         19.7   1017.0       93
01/11/2008  10:00:00  HBV     0.0       205       2.1         19.8   1017.1       92
01/11/2008  10:15:00  HBV     0.0       178       2.0         20.1   1017.2       89
01/11/2008  10:30:00  HBV     0.0       247       1.9         20.1   1017.2       89
01/11/2008  10:45:00  HBV     0.0       265       3.0         20.3   1017.2       87
01/11/2008  11:00:00  HBV     0.0       251       3.2         20.5   1017.2       84
01/11/2008  11:15:00  HBV     0.0       281       2.0         21.0   1017.4       82
01/11/2008  11:30:00  HBV     0.0       251       2.5         21.5   1017.2       79
01/11/2008  11:45:00  HBV     0.0       252       2.5         21.9   1017.1       77
01/11/2008  12:00:00  HBV     0.0       251       2.7         22.1   1016.9       75
01/11/2008  12:15:00  HBV     0.0       255       2.9         22.6   1016.7       72
01/11/2008  12:30:00  HBV     0.0       257       2.7         23.0   1016.6       68
01/11/2008  12:45:00  HBV     0.0       254       2.9         23.4   1016.6       68
01/11/2008  13:00:00  HBV     0.0       252       2.8         22.7   1016.4       70
01/11/2008  13:15:00  HBV     0.0       252       4.8         23.5   1016.1       66
01/11/2008  13:30:00  HBV     0.0       226       2.3         23.6   1016.1       65
01/11/2008  13:45:00  HBV     0.0       206       2.4         24.6   1016.0       63
01/11/2008  14:00:00  HBV     0.0       252       4.4         24.0   1015.9       65
01/11/2008  14:15:00  HBV     0.0       251       3.9         24.2   1015.4       65
01/11/2008  14:30:00  HBV     0.0       219       2.3         24.2   1015.4       65
