Relatório Meteorológico da Estação: São Cristóvão

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   Chuva  DirVento  VelVento  Temperatura  Pressao  Umidade
                                     (graus)     (m/s)    (celsius)    (hPa)      (%)
01/02/2009  00:00:00  HBV     0.0       016       0.9         26.2   1006.1       77
01/02/2009  00:15:00  HBV     0.0       079       1.3         26.3   1005.9       77
01/02/2009  00:30:00  HBV     0.0       054       1.4         26.2   1005.8       78
01/02/2009  00:45:00  HBV     0.0       108       0.7         26.3   1005.5       79
01/02/2009  01:00:00  HBV     0.0       043       0.4         26.2   1005.4       81
01/02/2009  01:15:00  HBV     0.0       358       0.6         26.0   1005.2       81
01/02/2009  01:30:00  HBV     0.0       010       0.4         26.2   1005.2       80
01/02/2009  01:45:00  HBV     0.0       097       1.2         26.5   1004.9       78
01/02/2009  02:00:00  HBV     0.0       103       1.2         26.7   1004.7       80
01/02/2009  02:15:00  HBV     0.0       102       0.3         26.5   1004.3       80
01/02/2009  02:30:00  HBV     0.0       095       1.0         26.5   1003.9       82
01/02/2009  02:45:00  HBV     0.0       042       1.2         26.3   1004.3       83
01/02/2009  03:00:00  HBV     0.0       067       0.2         25.9   1004.4       84
01/02/2009  03:15:00  HBV     0.0         -       0.0         25.9   1004.3       85
01/02/2009  03:30:00  HBV     0.0       114       1.0         25.9   1004.4       86
01/02/2009  03:45:00  HBV     0.0       088       1.0         26.0   1004.4       85
01/02/2009  04:00:00  HBV     0.0       079       0.5         25.8   1004.2       87
01/02/2009  04:15:00  HBV     0.0       032       0.2         25.8   1004.2       87
01/02/2009  04:30:00  HBV     0.0       031       1.3         25.4   1004.3       88
01/02/2009  04:45:00  HBV     0.0       049       1.4         25.4   1004.4       88
01/02/2009  05:00:00  HBV     0.0       004       1.6         25.6   1004.7       88
01/02/2009  05:15:00  HBV     0.0       003       1.5         25.6   1004.7       88
01/02/2009  05:30:00  HBV     0.0       058       1.3         25.8   1004.9       87
01/02/2009  05:45:00  HBV     0.0       074       0.3         25.8   1005.2       87
