Relatório Meteorológico da Estação: Sao Cristovao

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   Chuva  DirVento  VelVento  Temperatura  Pressao  Umidade
                                     (graus)     (m/s)    (celsius)    (hPa)      (%)
01/02/2011  00:00:00  HBV     0.0         -       0.0         29.1   1009.3       62
01/02/2011  00:15:00  HBV     0.0         -       0.0         29.6   1008.8       63
01/02/2011  00:30:00  HBV     0.0         -       0.0         29.5   1008.7       62
01/02/2011  00:45:00  HBV     0.0         -       0.0         29.2   1008.2       62
01/02/2011  01:00:00  HBV     0.0         -       0.0         28.8   1008.2       63
01/02/2011  01:15:00  HBV     0.0         -       0.0         28.5   1007.7       64
01/02/2011  01:30:00  HBV     0.0         -       0.0         28.4   1007.3       63
01/02/2011  01:45:00  HBV     0.0         -       0.0         29.5   1007.2       62
01/02/2011  02:00:00  HBV     0.0         -       0.0         29.0   1007.2       63
01/02/2011  02:15:00  HBV     0.0         -       0.0         28.7   1006.5       68
01/02/2011  02:30:00  HBV     0.0         -       0.0         28.5   1006.2       67
01/02/2011  02:45:00  HBV     0.0         -       0.0         28.1   1004.8       69
01/02/2011  03:00:00  HBV     0.0         -       0.0         27.9   1006.0       74
01/02/2011  03:15:00  HBV     0.0         -       0.0         27.6   1006.4       75
01/02/2011  03:30:00  HBV     0.0         -       0.0         27.6   1006.0       74
01/02/2011  03:45:00  HBV     0.0         -       0.0         28.0   1007.5       75
01/02/2011  04:00:00  HBV     0.0         -       0.0         28.0   1006.0       74
01/02/2011  04:15:00  HBV     0.0         -       0.0         27.6   1007.0       74
01/02/2011  04:30:00  HBV     0.0         -       0.0         28.0   1006.0       73
01/02/2011  04:45:00  HBV     0.0         -       0.0         28.0   1006.7       74
01/02/2011  05:00:00  HBV     0.0         -       0.0         28.2   1006.5       72
01/02/2011  05:15:00  HBV     0.0         -       0.0         27.5   1006.6       72
01/02/2011  05:30:00  HBV     0.0         -       0.0         27.9   1006.0       70
01/02/2011  05:45:00  HBV     0.0         -       0.0         28.1   1007.7       69
01/02/2011  06:00:00  HBV     0.0         -       0.0         28.4   1006.9       70
01/02/2011  06:15:00  HBV     0.0         -       0.0         28.2   1006.2       69
01/02/2011  06:30:00  HBV     0.0         -       0.0         28.4   1007.2       69
01/02/2011  06:45:00  HBV     0.0         -       0.0         28.1   1006.2       68
01/02/2011  07:00:00  HBV     0.0         -       0.0         28.1   1006.7       69
01/02/2011  07:15:00  HBV     0.0         -       0.0         28.0   1006.7       77
01/02/2011  07:30:00  HBV     0.0         -       0.0         27.9   1007.0       77
01/02/2011  07:45:00  HBV     0.0         -       0.0         29.3   1006.9       75
01/02/2011  08:00:00  HBV     0.0         -       0.0         28.8   1007.3       73
01/02/2011  08:15:00  HBV     0.0         -       0.0         29.9   1007.5       69
01/02/2011  08:30:00  HBV     0.0         -       0.0         30.2   1007.8       67
01/02/2011  08:45:00  HBV     0.0         -       0.0         28.8   1007.8       74
01/02/2011  09:00:00  HBV     0.0         -       0.0         28.1   1008.1       75
01/02/2011  09:15:00  HBV     0.0         -       0.0         29.5   1007.8       75
01/02/2011  09:30:00  HBV     0.0         -       0.0         29.5   1008.2       71
01/02/2011  09:45:00  HBV     0.0         -       0.0         29.6   1008.4       70
01/02/2011  10:00:00  HBV     0.0         -       0.0         30.2   1008.1       69
01/02/2011  10:15:00  HBV     0.0         -       0.0         29.5   1008.2       71
01/02/2011  10:30:00  HBV     0.0         -       0.0         30.1   1008.2       67
01/02/2011  10:45:00  HBV     0.0         -       0.0         32.0   1008.0       62
01/02/2011  11:00:00  HBV     0.0         -       0.0         32.9   1008.0       58
01/02/2011  11:15:00  HBV     0.0         -       0.0         32.3   1007.5       59
01/02/2011  11:30:00  HBV     0.0         -       0.0         31.2   1007.2       64
01/02/2011  11:45:00  HBV     0.0         -       0.0         32.0   1007.5       62
01/02/2011  12:00:00  HBV     0.0         -       0.0         33.0   1007.5       56
01/02/2011  12:15:00  HBV     0.0         -       0.0         32.3   1007.2       56
01/02/2011  12:30:00  HBV     0.0         -       0.0         33.7   1007.0       54
01/02/2011  12:45:00  HBV     0.0         -       0.0         31.8   1007.0       60
01/02/2011  13:00:00  HBV     0.0         -       0.0         31.5   1006.5       59
01/02/2011  13:15:00  HBV     0.0         -       0.0         33.5   1006.5       53
01/02/2011  13:30:00  HBV     0.0         -       0.0         34.2   1006.5       52
01/02/2011  13:45:00  HBV     0.0         -       0.0         34.3   1006.7       52
01/02/2011  14:00:00  HBV     0.0         -       0.0         34.0   1006.5       55
01/02/2011  14:15:00  HBV     0.0         -       0.0         34.8   1006.2       51
01/02/2011  14:30:00  HBV     0.0         -       0.0         34.7   1006.4       50
01/02/2011  14:45:00  HBV     0.0         -       0.0         34.8   1005.8       49
01/02/2011  15:00:00  HBV     0.0         -       0.0         35.2   1006.0       48
01/02/2011  15:15:00  HBV     0.0         -       0.0         34.3   1005.5       50
01/02/2011  15:30:00  HBV     0.0         -       0.0         34.5   1005.5       52
01/02/2011  15:45:00  HBV     0.0         -       0.0         33.4   1005.6       56
01/02/2011  16:00:00  HBV     0.0         -       0.0         32.4   1004.9       56
01/02/2011  16:15:00  HBV     0.0         -       0.0         31.8   1005.3       57
01/02/2011  16:30:00  HBV     0.0         -       0.0         31.3   1005.6       56
01/02/2011  16:45:00  HBV     0.0         -       0.0         32.4   1005.2       54
01/02/2011  17:00:00  HBV     0.0         -       0.0         31.9   1005.6       56
01/02/2011  17:15:00  HBV     3.4         -       0.0         28.4   1006.1       83
01/02/2011  17:30:00  HBV     3.6         -       0.0         25.3   1006.6       78
01/02/2011  17:45:00  HBV     0.6         -       0.0         24.8   1006.9       73
01/02/2011  18:00:00  HBV     0.6         -       0.0         25.3   1006.7       76
01/02/2011  18:15:00  HBV     0.4         -       0.0         25.1   1008.0       82
01/02/2011  18:30:00  HBV     0.6         -       0.0         25.4   1008.4       81
01/02/2011  18:45:00  HBV     0.2         -       0.0         25.2   1008.0       83
01/02/2011  19:00:00  HBV     0.2         -       0.0         25.3   1007.7       80
01/02/2011  19:15:00  HBV     0.0         -       0.0         25.4   1006.5       82
01/02/2011  19:30:00  HBV     0.0         -       0.0         25.6   1007.0       83
01/02/2011  19:45:00  HBV     0.2         -       0.0         25.9   1006.7       84
01/02/2011  20:00:00  HBV     0.0         -       0.0         25.2   1007.0       85
01/02/2011  20:15:00  HBV     0.0         -       0.0         25.1   1007.0       84
01/02/2011  20:30:00  HBV     0.0         -       0.0         24.9   1006.7       85
01/02/2011  20:45:00  HBV     0.0         -       0.0         25.7   1007.0       86
01/02/2011  21:00:00  HBV     0.0         -       0.0         25.6   1007.5       84
01/02/2011  21:15:00  HBV     0.0         -       0.0         25.4   1007.5       81
01/02/2011  21:30:00  HBV     0.0         -       0.0         25.6   1007.5       82
01/02/2011  21:45:00  HBV     0.0         -       0.0         25.9   1007.7       81
01/02/2011  22:00:00  HBV     0.0         -       0.0         25.9   1008.0       82
01/02/2011  22:15:00  HBV     0.0         -       0.0         25.7   1007.7       82
01/02/2011  22:30:00  HBV     0.0         -       0.0         26.3   1008.0       82
01/02/2011  22:45:00  HBV     0.0         -       0.0         26.3   1008.2       81
01/02/2011  23:00:00  HBV     0.0         -       0.0         26.0   1008.2       80
01/02/2011  23:15:00  HBV     0.0         -       0.0         26.0   1008.2       79
01/02/2011  23:30:00  HBV     0.0         -       0.0         25.9   1008.2       79
01/02/2011  23:45:00  HBV     0.0         -       0.0         25.7   1008.0       83
02/02/2011  00:00:00  HBV     0.0         -       0.0         25.8   1007.7       82
02/02/2011  00:15:00  HBV     0.0         -       0.0         25.9   1007.7       82
02/02/2011  00:30:00  HBV     0.0         -       0.0         26.2   1007.5       80
02/02/2011  00:45:00  HBV     0.0         -       0.0         25.9   1007.2       82
02/02/2011  01:00:00  HBV     0.0         -       0.0         25.4   1007.5       82
02/02/2011  01:15:00  HBV     0.0         -       0.0         26.2   1007.5       82
02/02/2011  01:30:00  HBV     0.0         -       0.0         26.0   1007.5       82
02/02/2011  01:45:00  HBV     0.0         -       0.0         26.2   1007.2       83
02/02/2011  02:00:00  HBV     0.0         -       0.0         25.8   1007.0       83
02/02/2011  02:15:00  HBV     0.0         -       0.0         26.2   1007.0       83
02/02/2011  02:30:00  HBV     0.0         -       0.0         26.0   1006.7       83
02/02/2011  02:45:00  HBV     0.0         -       0.0         26.0   1006.5       83
02/02/2011  03:00:00  HBV     0.0         -       0.0         25.9   1006.5       83
02/02/2011  03:15:00  HBV     0.0         -       0.0         26.0   1006.5       84
02/02/2011  03:30:00  HBV     0.0         -       0.0         25.6   1005.9       88
02/02/2011  03:45:00  HBV     0.0         -       0.0         25.7   1006.0       88
02/02/2011  04:00:00  HBV     0.0         -       0.0         25.3   1006.0       87
02/02/2011  04:15:00  HBV     0.0         -       0.0         25.3   1006.2       87
02/02/2011  04:30:00  HBV     0.0         -       0.0         25.2   1006.2       86
02/02/2011  04:45:00  HBV     0.0         -       0.0         25.8   1006.2       87
02/02/2011  05:00:00  HBV     0.0         -       0.0         25.7   1006.0       87
02/02/2011  05:15:00  HBV     0.0         -       0.0         25.8   1006.2       88
02/02/2011  05:30:00  HBV     0.0         -       0.0         25.3   1006.2       88
02/02/2011  05:45:00  HBV     0.0         -       0.0         25.1   1006.0       89
02/02/2011  06:00:00  HBV     0.0         -       0.0         25.1   1006.1       88
02/02/2011  06:15:00  HBV     0.0         -       0.0         24.8   1006.0       88
02/02/2011  06:30:00  HBV     0.0         -       0.0         24.9   1006.0       86
02/02/2011  06:45:00  HBV     0.0         -       0.0         25.4   1006.4       86
02/02/2011  07:00:00  HBV     0.0         -       0.0         25.6   1006.7       85
02/02/2011  07:15:00  HBV     0.0         -       0.0         26.3   1007.0       82
02/02/2011  07:30:00  HBV     0.0         -       0.0         26.9   1007.0       79
02/02/2011  07:45:00  HBV     0.0         -       0.0         27.0   1007.0       79
02/02/2011  08:00:00  HBV     0.0         -       0.0         26.5   1007.0       81
02/02/2011  08:15:00  HBV     0.0         -       0.0         26.4   1007.3       80
02/02/2011  08:30:00  HBV     0.0         -       0.0         26.5   1007.3       82
02/02/2011  08:45:00  HBV     0.0         -       0.0         27.1   1007.5       83
02/02/2011  09:00:00  HBV     0.0         -       0.0         29.3   1007.8       72
02/02/2011  09:15:00  HBV     0.0         -       0.0         29.6   1008.1       71
02/02/2011  09:30:00  HBV     0.0         -       0.0         28.6   1008.2       74
02/02/2011  09:45:00  HBV     0.0         -       0.0         28.6   1008.0       75
02/02/2011  10:00:00  HBV     0.0         -       0.0         28.2   1008.0       75
02/02/2011  10:15:00  HBV     0.0         -       0.0         28.2   1008.0       76
02/02/2011  10:30:00  HBV     0.0         -       0.0         28.0   1008.1       73
02/02/2011  10:45:00  HBV     0.0         -       0.0         29.5   1008.0       72
02/02/2011  11:00:00  HBV     0.0         -       0.0         29.8   1008.2       69
02/02/2011  11:15:00  HBV     0.0         -       0.0         31.7   1008.2       64
02/02/2011  11:30:00  HBV     0.0         -       0.0         32.1   1008.0       62
02/02/2011  11:45:00  HBV     0.0         -       0.0         31.2   1007.7       65
02/02/2011  12:00:00  HBV     0.0         -       0.0         31.9   1007.7       60
02/02/2011  12:15:00  HBV     0.0         -       0.0         31.7   1007.7       63
02/02/2011  12:30:00  HBV     0.0         -       0.0         31.9   1007.5       63
02/02/2011  12:45:00  HBV     0.0         -       0.0         34.2   1007.2       56
02/02/2011  13:00:00  HBV     0.0         -       0.0         35.3   1007.7       51
02/02/2011  13:15:00  HBV     0.0         -       0.0         35.2   1007.2       51
02/02/2011  13:30:00  HBV     0.0         -       0.0         36.3   1007.2       46
02/02/2011  13:45:00  HBV     0.0         -       0.0         33.9   1006.7       52
02/02/2011  14:00:00  HBV     0.0         -       0.0         34.1   1006.6       50
02/02/2011  14:15:00  HBV     0.0         -       0.0         34.1   1006.5       51
02/02/2011  14:30:00  HBV     0.0         -       0.0         34.5   1006.2       49
02/02/2011  14:45:00  HBV     0.0         -       0.0         35.2   1006.2       45
02/02/2011  15:00:00  HBV     0.0         -       0.0         35.7   1006.2       44
02/02/2011  15:15:00  HBV     0.0         -       0.0         34.7   1006.9       45
02/02/2011  15:30:00  HBV     0.0         -       0.0         35.7   1006.0       43
02/02/2011  15:45:00  HBV     0.0         -       0.0         34.3   1006.1       48
02/02/2011  16:00:00  HBV     0.0         -       0.0         35.2   1005.8       46
02/02/2011  16:15:00  HBV     0.0         -       0.0         35.0   1006.0       48
02/02/2011  16:30:00  HBV     0.0         -       0.0         35.1   1005.3       48
02/02/2011  16:45:00  HBV     0.0         -       0.0         33.1   1005.8       46
02/02/2011  17:00:00  HBV     0.0         -       0.0         34.5   1005.6       46
02/02/2011  17:15:00  HBV     0.0         -       0.0         34.6   1005.2       47
02/02/2011  17:30:00  HBV     0.0         -       0.0         35.3   1005.8       48
02/02/2011  17:45:00  HBV     0.0         -       0.0         33.0   1005.8       50
02/02/2011  18:00:00  HBV     0.0         -       0.0         34.0   1006.2       49
02/02/2011  18:15:00  HBV     0.0         -       0.0         33.1   1006.2       50
02/02/2011  18:30:00  HBV     0.0         -       0.0         33.4   1006.0       48
02/02/2011  18:45:00  HBV     0.0         -       0.0         32.9   1007.0       48
02/02/2011  19:00:00  HBV     0.0         -       0.0         31.8   1006.2       51
02/02/2011  19:15:00  HBV     0.0         -       0.0         31.9   1006.4       51
02/02/2011  19:30:00  HBV     0.0         -       0.0         31.7   1006.4       52
02/02/2011  19:45:00  HBV     0.0         -       0.0         31.4   1006.6       51
02/02/2011  20:00:00  HBV     0.0         -       0.0         31.8   1007.8       52
02/02/2011  20:15:00  HBV     0.0         -       0.0         31.3   1006.1       52
02/02/2011  20:30:00  HBV     0.0         -       0.0         31.3   1007.3       52
02/02/2011  20:45:00  HBV     0.0         -       0.0         30.6   1007.6       53
02/02/2011  21:00:00  HBV     0.0         -       0.0         30.6   1007.1       56
02/02/2011  21:15:00  HBV     0.0         -       0.0         30.1   1007.8       56
02/02/2011  21:30:00  HBV     0.0         -       0.0         29.8   1008.3       58
02/02/2011  21:45:00  HBV     0.0         -       0.0         29.2   1008.2       58
02/02/2011  22:00:00  HBV     0.0         -       0.0         30.7   1008.2       59
02/02/2011  22:15:00  HBV     0.0         -       0.0         30.9   1008.4       57
02/02/2011  22:30:00  HBV     0.0         -       0.0         30.7   1009.1       61
02/02/2011  22:45:00  HBV     0.0         -       0.0         28.0   1009.2       63
02/02/2011  23:00:00  HBV     0.0         -       0.0         29.0   1009.2       66
02/02/2011  23:15:00  HBV     0.0         -       0.0         28.1   1009.1       69
02/02/2011  23:30:00  HBV     0.0         -       0.0         27.5   1009.4       71
02/02/2011  23:45:00  HBV     0.0         -       0.0         28.4   1008.9       67
03/02/2011  00:00:00  HBV     0.0         -       0.0         28.5   1009.4       64
03/02/2011  00:15:00  HBV     0.0         -       0.0         27.5   1008.9       66
03/02/2011  00:30:00  HBV     0.0         -       0.0         28.0   1008.9       66
03/02/2011  00:45:00  HBV     0.0         -       0.0         28.0   1008.9       66
03/02/2011  01:00:00  HBV     0.0         -       0.0         28.0   1008.6       69
03/02/2011  01:15:00  HBV     0.0         -       0.0         27.5   1008.4       73
03/02/2011  01:30:00  HBV     0.0         -       0.0         27.0   1009.2       73
03/02/2011  01:45:00  HBV     0.0         -       0.0         27.0   1007.7       73
03/02/2011  02:00:00  HBV     0.0         -       0.0         27.0   1008.4       71
03/02/2011  02:15:00  HBV     0.0         -       0.0         27.4   1008.0       71
03/02/2011  02:30:00  HBV     0.0         -       0.0         27.3   1008.0       69
03/02/2011  02:45:00  HBV     0.0         -       0.0         27.1   1007.7       71
03/02/2011  03:00:00  HBV     0.0         -       0.0         26.9   1007.7       74
03/02/2011  03:15:00  HBV     0.0         -       0.0         26.8   1007.5       74
03/02/2011  03:30:00  HBV     0.0         -       0.0         26.8   1007.5       74
03/02/2011  03:45:00  HBV     0.0         -       0.0         26.8   1007.2       74
03/02/2011  04:00:00  HBV     0.0         -       0.0         26.5   1007.2       75
03/02/2011  04:15:00  HBV     0.0         -       0.0         26.8   1007.0       75
03/02/2011  04:30:00  HBV     0.0         -       0.0         26.5   1007.2       75
03/02/2011  04:45:00  HBV     0.0         -       0.0         26.8   1007.2       75
03/02/2011  05:00:00  HBV     0.0         -       0.0         26.7   1007.7       74
03/02/2011  05:15:00  HBV     0.0         -       0.0         26.5   1007.7       76
03/02/2011  05:30:00  HBV     0.0         -       0.0         26.5   1007.7       77
03/02/2011  05:45:00  HBV     0.0         -       0.0         26.7   1007.2       76
03/02/2011  06:00:00  HBV     0.0         -       0.0         26.4   1007.7       76
03/02/2011  06:15:00  HBV     0.0         -       0.0         26.4   1008.2       79
03/02/2011  06:30:00  HBV     0.0         -       0.0         26.2   1007.3       82
03/02/2011  06:45:00  HBV     0.0         -       0.0         25.7   1007.7       83
03/02/2011  07:00:00  HBV     0.0         -       0.0         26.3   1008.2       82
03/02/2011  07:15:00  HBV     0.0         -       0.0         25.8   1008.4       79
03/02/2011  07:30:00  HBV     0.0         -       0.0         26.4   1008.2       78
03/02/2011  07:45:00  HBV     0.0         -       0.0         26.5   1008.4       77
03/02/2011  08:00:00  HBV     0.0         -       0.0         27.3   1008.4       72
03/02/2011  08:15:00  HBV     0.0         -       0.0         27.6   1008.4       72
03/02/2011  08:30:00  HBV     0.0         -       0.0         27.5   1008.7       70
03/02/2011  08:45:00  HBV     0.0         -       0.0         27.0   1008.7       72
03/02/2011  09:00:00  HBV     0.0         -       0.0         27.1   1008.1       73
03/02/2011  09:15:00  HBV     0.0         -       0.0         28.1   1008.8       68
03/02/2011  09:30:00  HBV     0.0         -       0.0         27.6   1008.9       69
03/02/2011  09:45:00  HBV     0.0         -       0.0         27.6   1009.3       71
03/02/2011  10:00:00  HBV     0.0         -       0.0         27.6   1009.1       72
03/02/2011  10:15:00  HBV     0.0         -       0.0         28.4   1009.1       68
03/02/2011  10:30:00  HBV     0.0         -       0.0         28.5   1009.1       68
03/02/2011  10:45:00  HBV     0.0         -       0.0         28.4   1009.1       71
03/02/2011  11:00:00  HBV     0.0         -       0.0         29.6   1009.1       66
03/02/2011  11:15:00  HBV     0.0         -       0.0         30.1   1009.2       64
03/02/2011  11:30:00  HBV     0.0         -       0.0         30.3   1009.1       61
03/02/2011  11:45:00  HBV     0.0         -       0.0         31.3   1008.9       59
03/02/2011  12:00:00  HBV     0.0         -       0.0         30.3   1008.9       62
03/02/2011  12:15:00  HBV     0.0         -       0.0         31.2   1008.4       58
03/02/2011  12:30:00  HBV     0.0         -       0.0         31.0   1008.4       59
03/02/2011  12:45:00  HBV     0.0         -       0.0         30.9   1008.2       58
