Relatório Pluviométrico da Estação: Penha

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/02/1997  00:02:20  HBV      0.0    0.0    5.0    5.0    5.0
01/02/1997  00:17:20  HBV      0.0    0.0    1.3    5.0    5.0
01/02/1997  00:32:20  HBV      0.0    0.0    0.3    5.0    5.0
01/02/1997  00:47:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  01:02:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  01:17:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  01:32:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  01:47:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  02:02:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  02:17:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  02:32:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  02:47:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  03:02:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  03:17:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  03:32:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  03:47:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  04:02:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  04:17:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  04:32:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  04:47:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  05:02:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  05:17:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  05:32:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  05:47:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  06:02:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  06:17:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  06:32:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  06:47:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  07:02:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  07:17:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  07:32:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  07:47:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  08:02:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  08:17:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  08:32:20  HBV      0.0    0.0    0.0    5.0    5.0
01/02/1997  08:47:20  HBV      0.0    0.0    0.0    5.0    5.0
