Relatório Pluviométrico da Estação: Recreio dos Bandeirantes

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/12/1997  00:13:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  00:28:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  00:43:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  00:58:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  01:13:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  01:28:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  01:43:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  01:58:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  02:13:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  02:28:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  02:43:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  02:58:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  03:13:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  03:28:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  03:43:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  03:58:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  04:13:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  04:28:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  04:43:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  04:58:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  05:13:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  05:28:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  05:43:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  05:58:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  06:13:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  06:28:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  06:43:30  HBV      0.0    0.0    0.0    0.0   18.1
01/12/1997  06:58:30  HBV      0.0    0.0    0.0    0.0   18.1
