Relatório Pluviométrico da Estação: Saude

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/12/1997  00:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  00:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  00:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  00:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  01:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  01:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  01:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  01:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  02:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  02:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  02:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  02:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  03:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  03:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  03:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  03:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  04:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  04:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  04:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  04:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  05:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  05:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  05:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  05:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  06:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  06:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  06:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  06:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  07:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  07:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  07:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  07:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  08:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  08:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  08:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  08:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  09:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  09:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  09:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  09:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  10:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  10:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  10:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  10:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  11:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  11:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  11:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  11:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  12:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  12:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  12:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  12:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  13:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  13:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  13:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  13:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  14:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  14:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  14:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  14:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  15:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  15:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  15:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  15:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  16:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  16:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  16:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  16:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  17:01:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  17:16:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  17:31:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  17:46:20  HBV      0.0    0.0    0.0    0.0   20.9
01/12/1997  18:01:20  HBV      0.0    0.0    0.0    0.0   20.7
01/12/1997  18:16:20  HBV      0.0    0.0    0.0    0.0   10.6
01/12/1997  18:31:20  HBV      0.0    0.0    0.0    0.0    8.1
01/12/1997  18:46:20  HBV      0.0    0.0    0.0    0.0    7.4
01/12/1997  19:01:20  HBV      0.0    0.0    0.0    0.0    7.2
01/12/1997  19:16:20  HBV      0.0    0.0    0.0    0.0    7.0
01/12/1997  19:31:20  HBV      0.0    0.0    0.0    0.0    7.0
01/12/1997  19:46:20  HBV      0.0    0.0    0.0    0.0    6.5
01/12/1997  20:01:20  HBV      0.0    0.0    0.0    0.0    6.3
01/12/1997  20:16:20  HBV      0.0    0.0    0.0    0.0    6.1
01/12/1997  20:31:20  HBV      0.0    0.0    0.0    0.0    5.9
01/12/1997  20:46:20  HBV      0.2    0.2    0.2    0.2    6.1
01/12/1997  21:01:20  HBV      0.7    0.9    0.9    0.9    6.8
01/12/1997  21:16:20  HBV      0.0    0.9    0.9    0.9    6.8
01/12/1997  21:31:20  HBV      0.0    0.9    0.9    0.9    6.8
01/12/1997  21:46:20  HBV      0.2    0.9    1.1    1.1    7.0
01/12/1997  22:01:20  HBV      0.0    0.2    1.1    1.1    7.0
01/12/1997  22:16:20  HBV      0.0    0.2    1.1    1.1    7.0
01/12/1997  22:31:20  HBV      0.0    0.2    1.1    1.1    7.0
01/12/1997  22:46:20  HBV      0.0    0.0    1.1    1.1    7.0
01/12/1997  23:01:20  HBV      0.0    0.0    1.1    1.1    7.0
01/12/1997  23:16:20  HBV      0.0    0.0    1.1    1.1    7.0
01/12/1997  23:31:20  HBV      0.0    0.0    1.1    1.1    7.0
01/12/1997  23:46:20  HBV      0.0    0.0    1.1    1.1    7.0
02/12/1997  00:01:20  HBV      0.0    0.0    1.1    1.1    7.0
02/12/1997  00:16:20  HBV      0.0    0.0    1.1    1.1    7.0
02/12/1997  00:31:20  HBV      0.0    0.0    1.1    1.1    7.0
02/12/1997  00:46:20  HBV      0.0    0.0    0.9    1.1    7.0
02/12/1997  01:01:20  HBV      0.0    0.0    0.2    1.1    7.0
02/12/1997  01:16:20  HBV      0.0    0.0    0.2    1.1    7.0
02/12/1997  01:31:20  HBV      0.0    0.0    0.2    1.1    6.3
02/12/1997  01:46:20  HBV      0.0    0.0    0.0    1.1    6.3
02/12/1997  02:01:20  HBV      0.0    0.0    0.0    1.1    6.3
02/12/1997  02:16:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  02:31:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  02:46:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  03:01:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  03:16:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  03:31:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  03:46:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  04:01:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  04:16:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  04:31:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  04:46:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  05:01:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  05:16:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  05:31:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  05:46:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  06:01:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  06:16:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  06:31:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  06:46:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  07:01:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  07:16:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  07:31:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  07:46:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  08:01:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  08:16:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  08:31:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  08:46:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  09:01:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  09:16:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  09:31:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  09:46:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  10:01:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  10:16:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  10:31:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  10:46:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  11:01:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  11:16:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  11:31:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  11:46:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  12:01:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  12:16:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  12:31:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  12:46:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  13:01:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  13:16:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  13:31:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  13:46:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  14:01:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  14:16:20  HBV      0.0    0.0    0.0    1.1    6.1
02/12/1997  14:31:20  HBV      0.0    0.0    0.0    1.1    5.9
02/12/1997  14:46:20  HBV      0.0    0.0    0.0    1.1    5.9
02/12/1997  15:01:20  HBV      0.0    0.0    0.0    1.1    5.9
02/12/1997  15:16:20  HBV      0.0    0.0    0.0    1.1    5.9
02/12/1997  15:31:20  HBV      0.0    0.0    0.0    1.1    5.7
02/12/1997  15:46:20  HBV      0.0    0.0    0.0    1.1    4.2
02/12/1997  16:01:20  HBV      0.0    0.0    0.0    1.1    3.7
02/12/1997  16:16:20  HBV      0.0    0.0    0.0    1.1    3.7
02/12/1997  16:31:20  HBV      0.0    0.0    0.0    1.1    3.7
02/12/1997  16:46:20  HBV      0.0    0.0    0.0    1.1    3.7
02/12/1997  17:01:20  HBV      0.0    0.0    0.0    1.1    3.7
02/12/1997  17:16:20  HBV      0.0    0.0    0.0    1.1    3.7
02/12/1997  17:31:20  HBV      0.0    0.0    0.0    1.1    3.5
02/12/1997  17:46:20  HBV      0.0    0.0    0.0    1.1    3.5
02/12/1997  18:01:20  HBV      0.0    0.0    0.0    1.1    3.3
02/12/1997  18:16:20  HBV      0.0    0.0    0.0    1.1    3.1
02/12/1997  18:31:20  HBV      0.0    0.0    0.0    1.1    3.1
02/12/1997  18:46:20  HBV      0.0    0.0    0.0    1.1    3.1
02/12/1997  19:01:20  HBV      0.0    0.0    0.0    1.1    3.1
02/12/1997  19:16:20  HBV      0.0    0.0    0.0    1.1    3.1
02/12/1997  19:31:20  HBV      0.0    0.0    0.0    1.1    3.1
02/12/1997  19:46:20  HBV      0.0    0.0    0.0    1.1    3.1
02/12/1997  20:01:20  HBV      0.0    0.0    0.0    1.1    3.1
02/12/1997  20:16:20  HBV      0.0    0.0    0.0    1.1    3.1
02/12/1997  20:31:20  HBV      0.0    0.0    0.0    1.1    3.1
02/12/1997  20:46:20  HBV      0.0    0.0    0.0    0.9    2.9
02/12/1997  21:01:20  HBV      0.0    0.0    0.0    0.2    2.9
02/12/1997  21:16:20  HBV      0.0    0.0    0.0    0.2    2.9
02/12/1997  21:31:20  HBV      0.0    0.0    0.0    0.2    2.9
02/12/1997  21:46:20  HBV      0.0    0.0    0.0    0.0    2.9
02/12/1997  22:01:20  HBV      0.0    0.0    0.0    0.0    2.9
02/12/1997  22:16:20  HBV      0.0    0.0    0.0    0.0    2.9
02/12/1997  22:31:20  HBV      0.0    0.0    0.0    0.0    2.9
