Relatório Pluviométrico da Estação: Vidigal

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/01/1997  01:03:20  HBV       ND     ND     ND     ND     ND
01/01/1997  01:18:20  HBV      0.0     ND     ND     ND     ND
01/01/1997  01:33:20  HBV      0.0     ND     ND     ND     ND
01/01/1997  01:48:20  HBV      0.0     ND     ND     ND     ND
01/01/1997  02:03:20  HBV      0.0    0.0     ND     ND     ND
01/01/1997  02:18:20  HBV      0.0    0.0     ND     ND     ND
01/01/1997  02:33:20  HBV      0.0    0.0     ND     ND     ND
01/01/1997  02:48:20  HBV      0.0    0.0     ND     ND     ND
01/01/1997  03:03:20  HBV      0.0    0.0     ND     ND     ND
01/01/1997  03:18:20  HBV      0.0    0.0     ND     ND     ND
01/01/1997  03:33:20  HBV      0.0    0.0     ND     ND     ND
01/01/1997  03:48:20  HBV      0.0    0.0     ND     ND     ND
01/01/1997  04:03:20  HBV      0.0    0.0     ND     ND     ND
01/01/1997  04:18:20  HBV      0.0    0.0     ND     ND     ND
01/01/1997  04:33:20  HBV      0.0    0.0     ND     ND     ND
01/01/1997  04:48:20  HBV      0.0    0.0     ND     ND     ND
01/01/1997  05:03:20  HBV      0.0    0.0    0.0     ND     ND
01/01/1997  05:18:20  HBV      0.0    0.0    0.0     ND     ND
01/01/1997  05:33:20  HBV      0.0    0.0    0.0     ND     ND
01/01/1997  05:48:20  HBV      0.0    0.0    0.0     ND     ND
01/01/1997  06:03:20  HBV      0.0    0.0    0.0     ND     ND
01/01/1997  06:18:20  HBV      0.0    0.0    0.0     ND     ND
01/01/1997  06:33:20  HBV      0.0    0.0    0.0     ND     ND
01/01/1997  06:48:20  HBV      0.0    0.0    0.0     ND     ND
01/01/1997  07:03:20  HBV      0.0    0.0    0.0     ND     ND
01/01/1997  07:18:20  HBV      0.0    0.0    0.0     ND     ND
01/01/1997  07:33:20  HBV      0.0    0.0    0.0     ND     ND
01/01/1997  07:48:20  HBV      0.0    0.0    0.0     ND     ND
01/01/1997  08:03:20  HBV      0.0    0.0    0.0     ND     ND
