,DC_NOME,VL_LATITUDE,VL_LONGITUDE,files
0,Vidigal,-22.9925,-43.2331,vidigal
10,Irajá,-22.8269,-43.3369,iraja
15,Jardim Botânico,-22.9728,-43.2239,jardim_botanico
18,Barra/Riocentro,-22.9772,-43.3916,riocentro
19,Guaratiba,-23.0503,-43.5947,guaratiba
21,Santa Cruz,-22.9094,-43.6844,santa_cruz
27,Alto da Boa Vista,-22.9658,-43.2783,alto_da_boa_vista
31,São Cristóvão,-22.8967,-43.2217,sao_cristovao
0,RIO DE JANEIRO - FORTE DE COPACABANA,-22.98833333,-43.19055555,RIO DE JANEIRO - FORTE DE COPACABANA_1997_2022
1,RIO DE JANEIRO - JACAREPAGUA,-22.93999999,-43.40277777,RIO DE JANEIRO - JACAREPAGUA_1997_2022
2,RIO DE JANEIRO - VILA MILITAR,-22.86138888,-43.41138888,RIO DE JANEIRO - VILA MILITAR_1997_2022
3,RIO DE JANEIRO-MARAMBAIA,-23.05027777,-43.59555555,RIO DE JANEIRO-MARAMBAIA_1997_2022
