,Dia,Hora,HBV,Chuva,DirVento,VelVento,Temperatura,Pressao,Umidade,estacao
0,2014-03-01,00:00:00,HBV,0.0,,,,,,santa_cruz
1,2014-03-01,01:00:00,HBV,0.0,,,,,,santa_cruz
2,2014-03-01,02:00:00,HBV,0.0,,,,,,santa_cruz
3,2014-03-01,03:00:00,HBV,0.0,,,,,,santa_cruz
4,2014-03-01,04:00:00,HBV,0.0,,,,,,santa_cruz
5,2014-03-01,05:00:00,HBV,0.0,,,,,,santa_cruz
6,2014-03-01,06:00:00,HBV,0.0,,,,,,santa_cruz
7,2014-03-01,07:00:00,HBV,0.0,,,,,,santa_cruz
8,2014-03-01,08:00:00,HBV,0.0,,,,,,santa_cruz
9,2014-03-01,09:00:00,HBV,0.0,,,,,,santa_cruz
10,2014-03-01,10:00:00,HBV,0.0,,,,,,santa_cruz
11,2014-03-01,11:00:00,HBV,0.0,,,,,,santa_cruz
12,2014-03-01,12:00:00,HBV,0.0,,,,,,santa_cruz
13,2014-03-01,13:00:00,HBV,0.0,,,,,,santa_cruz
14,2014-03-01,14:00:00,HBV,0.0,,,,,,santa_cruz
15,2014-03-01,15:00:00,HBV,0.0,,,,,,santa_cruz
16,2014-03-01,16:00:00,HBV,0.0,,,,,,santa_cruz
17,2014-03-01,17:00:00,HBV,0.0,,,,,,santa_cruz
18,2014-03-01,18:00:00,HBV,0.0,,,,,,santa_cruz
19,2014-03-01,19:00:00,HBV,0.0,,,,,,santa_cruz
20,2014-03-01,20:00:00,HBV,0.0,,,,,,santa_cruz
21,2014-03-01,21:00:00,HBV,0.0,,,,,,santa_cruz
22,2014-03-01,22:00:00,HBV,0.0,,,,,,santa_cruz
23,2014-03-01,23:00:00,HBV,0.0,,,,,,santa_cruz
24,2014-03-02,00:00:00,HBV,0.2,,,,,,santa_cruz
25,2014-03-02,01:00:00,HBV,0.0,,,,,,santa_cruz
26,2014-03-02,02:00:00,HBV,0.0,,,,,,santa_cruz
27,2014-03-02,03:00:00,HBV,0.0,,,,,,santa_cruz
28,2014-03-02,04:00:00,HBV,0.0,,,,,,santa_cruz
29,2014-03-02,05:00:00,HBV,0.0,,,,,,santa_cruz
30,2014-03-02,06:00:00,HBV,0.0,,,,,,santa_cruz
